苏州电视台,#genre#
苏州新闻综合,http://tylive.kan0512.com/norecord/norecord_csztv1.m3u8
苏州社会经济,http://tylive.kan0512.com/norecord/norecord_csztv2.m3u8
苏州文化生活,http://tylive.kan0512.com/norecord/norecord_csztv3.m3u8
苏州生活资讯,http://tylive.kan0512.com/norecord/norecord_csztv5.m3u8

苏州备用,#genre#

苏州社会经济2,https://epg.pw/stream/662a6e45d5c3e311058fed95ebb8c916b677152effff3a8d9834f1ffe29ea7e5.m3u8
苏州文化生活,https://epg.pw/stream/a0508dcd87f2f219ddce6562357fb4bd80dd42f403e5208b9cf1f819f02d8d53.m3u8


苏州生活资讯,https://epg.pw/stream/80b7564d12cecfacd162f79f71dad2d34aed659757ca5eaf268a1594c9b3772d.m3u8
